Date,Sales
2023-01-01,899.3428306022465
2023-01-02,972.347139765763
2023-01-03,1129.5377076201385
2023-01-04,1304.605971281605
2023-01-05,953.1693250553328
2023-01-06,953.1726086101639
2023-01-07,1115.8425631014784
2023-01-08,953.4869458305818
2023-01-09,906.1051228130095
2023-01-10,1108.5120087171929
2023-01-11,907.3164614375075
2023-01-12,906.8540492859486
2023-01-13,1048.3924543132068
2023-01-14,417.34395106844045
2023-01-15,455.01643349739345
2023-01-16,887.5424941518055
2023-01-17,797.4337759331153
2023-01-18,1062.8494665190547
2023-01-19,818.3951848957578
2023-01-20,717.5392597329417
2023-01-21,1093.1297537843109
2023-01-22,754.8447399026928
2023-01-23,1013.5056409375848
2023-01-24,715.0503627573087
2023-01-25,891.1234550949634
2023-01-26,1022.1845179419732
2023-01-27,769.8012845155395
2023-01-28,875.1396036691344
2023-01-29,679.872262016239
2023-01-30,941.6612500413446
2023-01-31,879.6586775541206
2023-02-01,1370.4556369017876
2023-02-02,997.3005550524132
2023-02-03,788.45781420882
2023-02-04,964.5089824206378
2023-02-05,555.8312700057955
2023-02-06,1041.7727190009512
2023-02-07,608.0659752240449
2023-02-08,734.3627902203139
2023-02-09,1039.3722471738247
2023-02-10,1147.6933159990822
2023-02-11,834.2736562379941
2023-02-12,776.8703435223518
2023-02-13,939.7792608821422
2023-02-14,704.2956019265146
2023-02-15,856.0311583210582
2023-02-16,907.8722458080425
2023-02-17,1211.424445243783
2023-02-18,868.7236579136923
2023-02-19,447.3919689274532
2023-02-20,1064.816793878959
2023-02-21,922.9835439167367
2023-02-22,864.6155999388083
2023-02-23,1122.3352577681735
2023-02-24,1206.19990449919
2023-02-25,986.2560238232397
2023-02-26,632.1564953554723
2023-02-27,938.1575248297571
2023-02-28,1066.2526862807129
2023-03-01,1195.1090254244718
2023-03-02,904.165152430942
2023-03-03,962.8682046672366
2023-03-04,578.7330051987943
2023-03-05,560.7586751838659
2023-03-06,1162.5051644788396
2023-03-07,1271.2480057141647
2023-03-08,985.5979756839332
2023-03-09,1200.706579578405
2023-03-10,1072.3272050095268
2023-03-11,670.9760490789752
2023-03-12,872.2791211016828
2023-03-13,1307.6073132931938
2023-03-14,992.8347921780097
2023-03-15,1312.9287311628013
2023-03-16,476.05097918205115
2023-03-17,1164.3805008750448
2023-03-18,817.4094136476342
2023-03-19,740.1985299068265
2023-03-20,1018.3521553071005
2023-03-21,602.4862170798215
2023-03-22,956.0656224324977
2023-03-23,1071.4225143023493
2023-03-24,1295.5788089483033
2023-03-25,696.3459563452706
2023-03-26,638.3012794213624
2023-03-27,899.6485912830926
2023-03-28,1183.0804235404148
2023-03-29,1065.750221931937
2023-03-30,894.0479592465922
2023-03-31,1102.6534866226712
2023-04-01,819.4155098696081
2023-04-02,993.7289981065778
2023-04-03,859.5893812245295
2023-04-04,934.4675706804463
2023-04-05,921.5783693735684
2023-04-06,707.2970103735763
2023-04-07,1059.2240554129153
2023-04-08,852.2110544359779
2023-04-09,801.0226913284922
2023-04-10,953.0825733249707
2023-04-11,716.9258515899171
2023-04-12,915.8709354469282
2023-04-13,931.4570966946461
2023-04-14,839.5445461556762
2023-04-15,767.7428576667982
2023-04-16,880.8101713629077
2023-04-17,1377.237180242106
2023-04-18,1034.9155625663677
2023-04-19,1051.5100781445528
2023-04-20,985.1108168467665
2023-04-21,616.2457569401918
2023-04-22,794.6972249101566
2023-04-23,812.0460419882053
2023-04-24,1492.6484224970573
2023-04-25,961.5278070437755
2023-04-26,1060.3094684667226
2023-04-27,993.0576460589514
2023-04-28,766.2643924760936
2023-04-29,1028.5645629030041
2023-04-30,950.3866065373549
2023-05-01,1158.2063894086093
2023-05-02,818.1225090410522
2023-05-03,1280.5588621872198
2023-05-04,719.6297874415438
2023-05-05,1117.371418760054
2023-05-06,1238.0911251619957
2023-05-07,601.8927349738624
2023-05-08,886.7404540794456
2023-05-09,1019.9302730175283
2023-05-10,899.3048691767601
2023-05-11,689.8673137867735
2023-05-12,1013.7125949612055
2023-05-13,587.539257254779
2023-05-14,894.7184861270363
2023-05-15,816.1151531532394
2023-05-16,1309.986881003508
2023-05-17,843.3493415327525
2023-05-18,935.5876967588649
2023-05-19,1162.703443473934
2023-05-20,553.8271367132089
2023-05-21,845.4919869208259
2023-05-22,1261.4285508564856
2023-05-23,678.5033530877545
2023-05-24,1036.9267717064608
2023-05-25,1051.9765588496848
2023-05-26,1156.364574355462
2023-05-27,552.6098578243837
2023-05-28,535.9086773831448
2023-05-29,1104.3883131233795
2023-05-30,1059.3969346466372
2023-05-31,1050.0985700691754
2023-06-01,1069.289641899395
2023-06-02,863.9950556843019
2023-06-03,846.4507394322007
2023-06-04,858.6144946597362
2023-06-05,857.1297163947264
2023-06-06,1373.1549022289514
2023-06-07,1094.7665841823575
2023-06-08,761.7393005594703
2023-06-09,1131.310721726766
2023-06-10,605.0636659545357
2023-06-11,957.4169207484904
2023-06-12,1231.7191158014807
2023-06-13,835.8635363296579
2023-06-14,1192.6752258488643
2023-06-15,1082.5561853872996
2023-06-16,1164.4120319988979
2023-06-17,1179.3585965307896
2023-06-18,750.9223767994259
2023-06-19,849.2527671285021
2023-06-20,822.0971140748953
2023-06-21,836.8379430069124
2023-06-22,984.5796581171792
2023-06-23,1068.2303949633288
2023-06-24,855.3381598660038
2023-06-25,965.4366498072047
2023-06-26,1002.6003783755814
2023-06-27,1290.7068154314634
2023-06-28,947.0686333524088
2023-06-29,1544.0338333179238
2023-06-30,1125.1334695530013
